name,key,link,related_aesthetics,decade_of_origin,key_motifs,key_colours,key_values,related_media,earliest_origin,latest_origin
Acid Design,Acid_Design,https://aesthetics.fandom.com/wiki/Acid_Design,"['Acid_House', 'Barber_Beats', 'Cyberdelia', 'Cyberpunk', 'Neo-Vectorheart', 'Neubrutalism', 'New_Beat', 'Psychedelia', 'Rave', 'Retrofuturism', 'Vectorheart', 'Y2K_Futurism']",Late 2010s (revival); 1990s (origin),"Chrome/liquid metal typography, wireframes, geometric shapes, dystopian imagery, psychedelic patterns, smiley faces","Black, neons, fluorescent colors","Individuality, uniqueness, visual dissonance, cynical humor, futurism",,1990.0,2010.0
Acid House,Acid_House,https://aesthetics.fandom.com/wiki/Acid_House,"['Acid_Design', 'Rave', 'Psychedelia', 'Groovival', 'Madchester', 'New_Beat']",1980s,"Smiley face, psychedelic patterns, baggy clothing, bucket hats, bandanas, dungarees","Bright neon colors (yellow, pink, green, orange)","Euphoria, unity, hedonism, escapism, peace, love",,1980.0,1980.0
Acubi,Acubi,https://aesthetics.fandom.com/wiki/Acubi,"['Avant_Apocalypse', 'Cyber_Grunge', 'Gloomy_Coquette', 'Minimalism', 'Stargirl', 'Y2K']",2020s,"Subversive basics, layering, cut-outs, ""slim top big pants"" silhouette, bolero cardigans","Neutrals (grey, black, white), earth tones (sage green, brown)","Minimalism, effortless cool, digital native fashion, comfort",,2020.0,2020.0
Adventurecore,Adventurecore,https://aesthetics.fandom.com/wiki/Adventurecore,"['Adventure_Pulp', 'Cabincore', 'Campcore', 'Goblincore', 'Naturecore']",2010s,"Exploration, the great outdoors, maps, compasses, hiking gear, dense forests, misty mountains","Earth tones (green, brown, dark blue, off-white)","Curiosity, exploration, yearning for the unknown, connection to nature","ravity Falls, Over the Garden Wall, The Legend of Zelda: Breath of the Wild",2010.0,2010.0
Adventure Pulp,Adventure_Pulp,https://aesthetics.fandom.com/wiki/Adventure_Pulp,"['Adventurecore', 'Dieselpunk', 'Junglecore', 'Safari_Chic', 'Steampunk', 'Tiki', 'Victorian']","1930s (original), 1980s (modern revival)","Ancient ruins, dense jungles, old maps, esoteric artifacts, prop planes, fedoras, treasure hunting","Brown, khaki, ochre, off-white, earth tones","Adventuring, discovery, competency, scholasticism, escaping the mundane",,1930.0,1980.0
Aestheticism,Aestheticism,https://aesthetics.fandom.com/wiki/Aestheticism,"['Arts_and_Crafts', 'Art_Nouveau', 'Decadence', 'Japonisme', 'Orientalism', 'Pre-Raphaelite', 'Romanticism', 'Victorian']",Late-19th century (approximately 1860s-1900s),"Peacocks, lilies, sunflowers, irises, Japanese motifs (fans, screens), classical figures, flowing lines, intricate patterns","Jewel tones (emerald green, sapphire blue, ruby red), Gold, Ivory, Peacock blue","Art for art's sake, beauty, sensuality, refinement, individualism","he Picture of Dorian Gray, Poems and Ballads (Swinburne), Studies in the History of the Renaissance, Yellow Book",1860.0,1900.0
Aesthetic Rap,Aesthetic_Rap,https://aesthetics.fandom.com/wiki/Aesthetic_Rap,"['Cloud_Rap', 'E-Boy', 'E-Girl', 'Lo-fi_Art', 'Meme_Rap', 'Trap_Metal', 'Vaporwave']",Early 2020s,"Anime Music Videos (AMVs), e-girls/e-boys, LED lights, firearms, luxury cars, VHS filters, Hello Kitty, money, juxtaposition of conventionally attractive women with weapons","Purple, pink, neon blue, black","Romance, infatuation (""simping""), nostalgia, main character energy, coolness",,2020.0,2020.0
Aetherpunk,Aetherpunk,https://aesthetics.fandom.com/wiki/Aetherpunk,"['Dungeonpunk', 'Fantasy', 'Steampunk']",nan,"Nature, Pagan Imagery, Gold everywhere",,"Utopianism, A fight against an evil dark force but not an industrial one,",,,
Afrofuturism,Afrofuturism,https://aesthetics.fandom.com/wiki/Afrofuturism,"['Androgynous', 'Art_Hoe', 'Cyber_Ghetto', 'Cyberpunk', 'Funk', 'Indigenous_Futurisms', 'Retrofuturism', 'Solarpunk', 'Synthwave']",1950s-Present,"Technology, cosmology, diaspora, reclamation","Metallic, deep blues, earth tones","Liberation, innovation, heritage, future vision","lack Panther, Sun Ra, Grace Jones, Octavia Butler, Samuel R. Delany",1950.0,1950.0
Afropunk,Afropunk,https://aesthetics.fandom.com/wiki/Afropunk,"['Afrofuturism', 'Alternative', 'Funk', 'Punk', 'Hip-Hop', 'Nu-Metal', 'Rockabilly']",1970s (origins)2000s (wider popularization),"DIYaesthetics, Afrofuturist elements, African-inspired prints and patterns, natural hairstyles (e.g., afros, dreadlocks, braids), body modifications (piercings, tattoos), reclaimed punk iconography (spikes, leather, ripped denim)",,"Rebellion, independence, anti-conformity, social justice, self-expression, Black liberation","fro-Punk (2003 film), Afropunk Festival",1970.0,2000.0
After Hours,After_Hours,https://aesthetics.fandom.com/wiki/After_Hours,"['City_Pop', 'Doomer', 'Ethereal', 'Film_Noir', 'Industrial_Decay', 'Liminal_Space', 'Lo-Fi', 'Mallsoft', 'Post-Apocalyptic', 'Seapunk', 'Synthwave', 'Urbancore', 'Vaporwave']",2010s,"Darkness, emptiness, familiarity, tranquility, melancholy","Darker colors due to shadows, Gold, Yellow",,o Players Online,2010.0,2010.0
Agejo,Agejo,https://aesthetics.fandom.com/wiki/Agejo,"['Gyaru', 'Hime_Gyaru', 'Himekaji', 'Kogal', 'Girly_Kei', 'Heisei_Retro', 'McBling']",Mid 2000s,"Animal print (especially leopard and zebra), rhinestones, lace, roses, bows, ribbons, gold embellishments","Hot pink, black, red, blue, purple","Glamour, sexuality, classiness, hyper-femininity","oakuma Ageha Magazine, Popteen Magazine, Egg Magazine",2000.0,2000.0
Aggrotech,Aggrotech,https://aesthetics.fandom.com/wiki/Aggrotech,"['Cybergoth', 'Cyberpunk', 'Electronic_Body_Music', 'Industrial', 'Post-Apocalyptic']",Late 1990s,"Gas masks, biohazard symbols, tactical gear, body horror, heavy machinery, aggressive synthesizers","Neon green, acid yellow, blood red, black","Misanthropy, apocalypticism, techno-nihilism",,1990.0,1990.0
Ah Beng,Ah_Beng,https://aesthetics.fandom.com/wiki/Ah_Beng,"['Bogan', 'B%C5%8Ds%C5%8Dzoku', 'Chav', 'McBling']",1990s,"Rebonded/dyed Hair (blonde/red), loud and flashy Accessories (chunky jewelry), motor enthusiasm/reckless driving, visible Western brands, Singlish/Hokkien language preference",,"Materialism, anti-intellectualism, loyalty (to gang/clique), hedonism, anti-establishment (unintentionally)","hua Chu Kang Pte Ltd (Sitcom), Army Daze (Film)",1990.0,1990.0
Akibapop,Akibapop,https://aesthetics.fandom.com/wiki/Akibapop,"['Bubblegum_Dance', 'Colorful_Pop', 'Denpa', 'Dokukawaii', 'Lolicore', 'Moe', 'Otaku']",Early 2000s,"High-pitched vocals, catchy melodies, nonsensical lyrics, repetition, otaku themes","Bright colours, pink, pastels","Bizarreness, catchiness,cuteness, energy, chaos","oujin music, Touhou Project, Japanese rhythm games (e.g., Sound Voltex, Benami series, Beatmania, Yunyun Syndrome!? Rhythm Psychosis)",2000.0,2000.0
Aliencore,Aliencore,https://aesthetics.fandom.com/wiki/Aliencore,"['Atompunk', 'Cryptidcore', 'Psychedelia', 'Raygun_Gothic', 'Retrofuturism', 'Space_Age', 'Y2K_Futurism']",1990s,"Aliens, outer space, UFOs","Black, green, violet, magenta, cyan","Apathy, exploration, individualism, mystery",,1990.0,1990.0
Aliyahcore,Aliyahcore,https://aesthetics.fandom.com/wiki/Aliyahcore,"['Bubblegum_Bling', 'Cyberpunk', 'Grunge', 'Harajuku_Fashion', 'Kawaii']",2020s,"Earmuffs, fishnets (as sleeves and stockings), garter belts, fur-trimmed platform boots, miniskirts, layered belts",,"Unapologetic self-expression, confidence, creativity, individuality",,2020.0,2020.0
Amekaji,Amekaji,https://aesthetics.fandom.com/wiki/Amekaji,"['Gyaru', 'Hip-Hop', 'Kogal', 'McBling', 'Swag', 'Y2K']",Late 1990s–2000s,"Bright colors, oversized hoodies, brand logos, puffer vests, flared pants, mini skirts, layered clothing, surf and skate culture","Vibrant palettes including pink, yellow, turquoise, and orange, often with earthy base tones","Playfulness, energy, brand loyalty, American pop culture, casual comfort","agazines (egg, Ranzuki)",1990.0,2000.0
American Kitsch,American_Kitsch,https://aesthetics.fandom.com/wiki/American_Kitsch,"['50s_Suburbia', 'Americana', 'Camp', 'Diner', 'Heroic_Realism', 'Pin-up', 'Raggare', 'Vintage_Americana']",1920s,,,,,1920.0,1920.0
American Pioneers,American_Pioneers,https://aesthetics.fandom.com/wiki/American_Pioneers,"['Adventurecore', 'Americana', 'Campcore', 'Cottagecore', 'Prairie', 'Western']",nan,"The American prairie, supplies used on the journey, danger",,"Manifest Destiny, self-sufficiency, colonialism",,,
American Thanksgiving,American_Thanksgiving,https://aesthetics.fandom.com/wiki/American_Thanksgiving,"['Americana', 'Autumn', 'Christian_Girl_Autumn', 'Halloween', 'Historical_Americana']",November 1621,"Fall harvest, turkeys, pie, family, cornucopia",Autumnal colors,"American tradition, family, domesticity, gratefulness", Charlie Brown Thanksgiving,1621.0,1621.0
Analog Horror,Analog_Horror,https://aesthetics.fandom.com/wiki/Analog_Horror,"['Digital_Horror', 'Glitch_Art', 'Horror', 'Liminal_Space', 'Signalwave', 'Weirdcore']",Mid-to-Late 2010s,"Nostalgia, static, glitches, psychological dread, ambiguous threats, corrupted broadcasts, hidden messages","Monochromatic (black and white), desaturated, limited use of blue, red, green","Unsettling the familiar, loss of control, fear of malfunctioning technology, questioning authority, cosmic horror","he Mandela Catalogue, Gemini Home Entertainment, Local 58 TV",2010.0,2010.0
Anarcho-Punk,Anarcho-Punk,https://aesthetics.fandom.com/wiki/Anarcho-Punk,"['Crustpunk', 'Folk_Punk', 'Gutter_Punk', 'Punk', 'Riot_Grrrl']",Late 1970s,"DIY clothing (patches, studs, stencils), anarchy symbol (Ⓐ), anti-war and anti-capitalist slogans, animal rights imagery, black and red color schemes",,"Anarchism, anti-authoritarianism, anti-capitalism, anti-war,DIY ethos, animal rights, environmentalism",,1970.0,1970.0
Ancient Egypt,Ancient_Egypt,https://aesthetics.fandom.com/wiki/Ancient_Egypt,"['Hellenic', 'Art_Deco', 'Egyptian_Revival']",3150 BC─30 BC,"Pyramids, mummies, sand, gold, tomb artwork, winged solar disc","Gold, white, ivory, brown, black, blue, red",,,-3150.0,-30.0
Androgynous,Androgynous,https://aesthetics.fandom.com/wiki/Androgynous,"['Club_Kids', 'Cybergoth', 'Deathrock', 'Femboy', 'Glam_Rock', 'Goth', 'Heroin_Chic', 'Minet', 'New_Romantic', 'Power_Dressing', 'Queercore', 'Succubus_Chic', 'Teddies', 'Tomboy', 'Trad_Goth', 'Visual_Kei']",nan,Gender-neutral clothing,All,Someone of the androgynous style might have some female characteristics (eg; long hair) and some male (eg; facial hair).,,,
Angelcore,Angelcore,https://aesthetics.fandom.com/wiki/Angelcore,"['Baroque', 'Coquette', 'Cottagecore', 'Devilcore', 'Ethereal', 'Fairycore', 'Hellenic', 'Neoclassicism', 'Rococo']",Late 2010s,"Angels, cherubs, wings, halos, doves, soft clouds, sunbeams, glitter","White, gold, light blue, light yellow, pastel pink","Beauty, benevolence, tranquility, unearthliness, purity, gentleness",ings of Desire (1987),2010.0,2010.0
Anglo Gothic,Anglo_Gothic,https://aesthetics.fandom.com/wiki/Anglo_Gothic,"['After_Hours', 'Liminal_Space', 'Chav', 'Dark_Academia', 'Regional_Gothic', 'Suburban_Gothic', 'Goth', 'Trad_Goth', 'Post-Punk', 'Cryptidcore', 'Britpop']",1990s,"Drizzling rain, overcast skies, cheap tea and biscuits, melancholy, council estates","Blue, grey, brown, green","Working class values, dissatisfaction, depression,","GMedia, Grime music, Arctic Monkeys, The Full Monty",1990.0,1990.0
Angura Kei,Angura_Kei,https://aesthetics.fandom.com/wiki/Angura_Kei,"['Goth', 'Visual_Kei', 'Showa_Retro', 'Taisho_Roman']",1960s (theatre),"Shironuri makeup, Japanese school uniforms (modified), traditional garments (Kimono, Haori), wartime/Showa era nostalgia, occult/Shinto symbolism, Bunka dolls, old wall clocks, travelling circuses","Black, white, red (symbolizing blood, nationalism, and drama)","Rejection of WesternRealism, political critique, nihilism, distortion of Japanese national identity, theatricality, grotesque exaggeration","erayama Shuji's work, Furuya Usamaru's Litchi Hikari Club (Manga), Yokoo Tadanori's posters",1960.0,1960.0
Animecore,Animecore,https://aesthetics.fandom.com/wiki/Animecore,"['Bubblegum_Dance', 'Cutecore', 'E-Girl', 'Femcel_(anime_subculture)', 'Kawaii', 'Kawaii_Gamer', 'Lolicore', 'Nightcore_(aesthetic)', 'Otaku', 'Scenecore', 'Superflat', 'TechnoNeko2000', 'Webcore', 'Weeaboo']",1990s (Origins)2010s (Aesthetic),"2000s moe anime characters, anime figurines, posters, cluttered desks, CRT monitors,glitter graphics(Blingee, PicMix), low-quality images","Bright, saturated colors, often with a neon or pastel tint","Nostalgia for 2000s anime culture, intense fandom, visual maximalism, online community","ucky Star, Azumanga Daioh, the Touhou Project series, Vocaloid",1990.0,2010.0
Antwerp Six,Antwerp_Six,https://aesthetics.fandom.com/wiki/Antwerp_Six,"['Archive', 'Deconstructivism', 'Goth', 'Romantic_Goth', 'Minimalism']",Mid-1980s,"Deconstruction, asymmetry, minimalism, monochromatic palettes, exposed seams/linings, oversized tailoring, intellectual rebellion, androgyny","Black, charcoal grey, off-white, muted earth tones (for deconstructive designers); saturated prints, bright colors (for Dries Van Noten/Walter Van Beirendonck)","Avant-garde, anti-fashion, intellectualism, craftsmanship, individuality, non-conformity",,1980.0,1980.0
Appalachian Gothic,Appalachian_Gothic,https://aesthetics.fandom.com/wiki/Appalachian_Gothic,"['Adventurecore', 'Suburban_Gothic', 'Regional_Gothic', 'Cabincore', 'After_Hours', 'Cryptidcore', 'Midwest_Gothic', 'Southern_Gothic', 'New_England_Gothic', 'Gothic', 'Dark_Naturalism']",1700's,"Forested mountains, supernatural occurences, small mountain towns","Greens, grays, rusty browns, some blue","Hard work, independence, conservatism",,1700.0,1700.0
Après-ski,Apr%C3%A8s-ski,https://aesthetics.fandom.com/wiki/Apr%C3%A8s-ski,"['Cabincore', 'Coastal_Grandmother', 'Old_Money', 'Winter']",1950s,"Knit sweaters (especially Fair Isle), turtlenecks, puffer jackets, ski chalets, fireplaces, fondue, mulled wine, vintage ski posters","Creams, whites, deep reds, navy blue, forest green, earth tones","Coziness, socializing, relaxation, comfort, rustic luxury",,1950.0,1950.0
Arabian Nights,Arabian_Nights,https://aesthetics.fandom.com/wiki/Arabian_Nights,"['Orientalism', 'Royalcore']",2020s,"Desert landscapes, traditional Middle Eastern garments (thobes, abayas), elaborate makeup, gold jewelry, slow-motion transitions",,"Cultural pride, beauty, tradition, modernity",laddin (1992),2020.0,2020.0
Arabfunny,Arabfunny,https://aesthetics.fandom.com/wiki/Arabfunny,"['Deep_Fried_Meme', 'Major_League_Gaming', 'Surreal_Meme', 'Weirdcore', 'Yabujincore']",Late 2010s,"Arabic text, random viral videos, red clickbait circles and arrows, Peter Griffin, low quality .JPEG compression, Arabic music/ringtones, emojis, loud sirens, low quality 3D animations, ""FREE DOWNLOAD"" buttons","Red, green, white, black (Pan-Arab colors), neon green","Irony, satire, sensory overload, absurdism, ""shitposting""","amood Habibi, Crazy Frog, Gummy Bear",2010.0,2010.0
Arcadecore,Arcadecore,https://aesthetics.fandom.com/wiki/Arcadecore,"['8-Bit', 'Glitch_Art', 'Kidcore', 'Mallgoth', 'Synthwave', 'Vaporwave', 'Webcore']",1980s,"Arcade cabinets, CRT screens, vector graphics, pixel art, neon lights, glowing joysticks and buttons, patterned carpets, tokens, tickets","Black, navy blue, fluorescent and neon colors (especially pink, cyan, and green)","Nostalgia, competition, social gathering, escapism, fun",,1980.0,1980.0
Aristocrat,Aristocrat,https://aesthetics.fandom.com/wiki/Aristocrat,"['Dandy', 'Gothic_Lolita', 'Ouji', 'Tanbi_Kei', 'Visual_Kei']",Mid-1990s,"Tailored waistcoats and trousers, androgynous silhouettes, jabots and cravats, long skirts, fitted jackets, monarchist imagery (fleur-de-lis, crowns), crosses, roses, velvet, lace-up boots","Black, white, crimson, midnight blue, silver/gold accents","Androgyny, elegance, darkness, maturity, historical reverence (19th-century European aristocracy)",,1990.0,1990.0
Art Academia,Art_Academia,https://aesthetics.fandom.com/wiki/Art_Academia,"['Art_Hoe', 'Chaotic_Academia', 'Dark_Academia', 'Figuration_Narrative', 'Light_Academia', 'Musical_Academia', 'Studyblr', 'Utopian_Scholastic']",nan,"Admiring art pieces, staring at statues, books, painting, drawing, sketching, jotting down notes, poetry, art museums","Cadmium yellow, dark browns, white, the whole rainbow","Art, knowledge, curiosity, literature, music, architecture",ust for Life,,
Artcore,Artcore,https://aesthetics.fandom.com/wiki/Artcore,"['Baroque', 'Colorful_Pop', 'Gothic', 'Gothic_Lolita']",Early 2000s,"Classical piano and strings, high-tempo breakbeats, anime-styled characters, fantasy elements (crystals, feathers),Gothic architecture","Cool-toned palettes: blue, purple, and white, often with high contrast","Melodrama, elegance, technical complexity, fusion of classical and electronic music","rcaea, Cytus II, CHUNITHM, KALPA, Maimai DX, O.N.G.E.K.I.",2000.0,2000.0
Art Deco,Art_Deco,https://aesthetics.fandom.com/wiki/Art_Deco,"['Art_Nouveau', 'Bauhaus', 'Cubism', 'Decopunk', '//cari.institute/aesthetics/deco-luxe', '//cari.institute/aesthetics/decoplex', 'Dieselpunk', 'Flapper', 'Fleischer_Style', 'Futurism', 'Gar%C3%A7onne', 'Roaring_Twenties', 'Streamline_Moderne', 'Weimar_Cabaret']",1910s–1930s,"Bold geometric shapes (chevrons, sunbursts, zig-zags), stepped forms, stylized natural forms, lavish ornamentation, symmetry","High contrast palettes, black, silver, gold, chrome, rich jewel tones","Luxury, glamour, modernity, progress, faith in technology, ""machine aesthetic,"" speed",,1910.0,1930.0
Arte Povera,Arte_Povera,https://aesthetics.fandom.com/wiki/Arte_Povera,"['Dau_al_Set', 'Industrial_Decay', 'Minimalism', 'Nouveau_R%C3%A9alisme']",Late 1960s,"Commonplace materials, ""poor"" materials, pre-industrial materials, earth, rocks, wood, metal, fabric, fire, organic materials, process, transformation","Often earthy tones, natural colours, but also industrial colours (depending on materials used)","Critique of consumerism, anti-materialism, anti-commercialism, rejection of traditional art values, emphasis on process, connection to nature, Italian cultural identity",,1960.0,1960.0
Art Hoe,Art_Hoe,https://aesthetics.fandom.com/wiki/Art_Hoe,"['Art_Academia', 'VSCO_Girl', 'Indie', 'Cottagecore', 'Plant_Mom']",Mid-2010s,"Selfies collaged with famous art, nature imagery (plants, flowers), sketchbooks, paint palettes, Kånken backpacks","Primary colors (especially yellow), earth tones","Creativity, self-expression, diversity, centering artists of color, passion for art, connection to nature",,2010.0,2010.0
